date,Undetected,Positives
2021-01-10,241264.89040797343,821196.8904079734
2021-01-11,236506.3254622451,811195.4178562895
2021-01-12,231771.9914398132,801071.5373005867
2021-01-13,227074.47917626097,790853.6301276732
2021-01-14,222363.60089565837,780454.8492098246
2021-01-15,217707.24300849217,770010.942953334
2021-01-16,213056.60460351288,759436.1538387436
2021-01-17,208431.61663290975,748776.4718323366
2021-01-18,203845.07788519826,738062.0372948458
2021-01-19,199371.90404962617,727444.1585965509
2021-01-20,195065.4342891181,717035.4188429363
2021-01-21,191009.74006296514,706999.7024069742
2021-01-22,187164.00503406834,697280.099063182
2021-01-23,183419.57126441124,687689.534565553
2021-01-24,179757.2335382295,678195.774840766
2021-01-25,176196.76329317773,668832.7948090351
2021-01-26,172946.8310790253,659758.5613059751
2021-01-27,170924.08763769822,651585.7328366814
2021-01-28,170082.68838909882,644371.3664808826
2021-01-29,170237.27976272695,638117.1374625687
2021-01-30,170499.7122575571,632357.9325437366
2021-01-31,170841.4558056809,627028.0525466044
2021-02-01,171246.91351278356,622081.9505365758
2021-02-02,171656.62928279882,617400.4092728012
2021-02-03,172006.44430124416,612854.2917081224
2021-02-04,172247.19150408066,608339.7284073051
2021-02-05,172339.0318554943,603768.6876230611
2021-02-06,172282.08997150906,599126.0894046862
2021-02-07,172093.0419294384,594428.9872295837
2021-02-08,171729.71765504402,589586.4993871998
2021-02-09,171184.27622372445,584573.109664872
2021-02-10,170448.09015414832,579361.5086009079
2021-02-11,169946.08654257245,574436.2926378079
2021-02-12,171782.9067978969,572324.6768352166
2021-02-13,176094.14972154622,573342.0424625077
2021-02-14,182638.33636000045,577335.6783321832
2021-02-15,189363.73977661785,582005.9240900739
2021-02-16,196278.3936024946,587361.3279867534
2021-02-17,203417.25918332834,593461.0697694996
2021-02-18,210775.29990299698,600291.7658643428
2021-02-19,218371.70772905086,607885.7156354678
2021-02-20,226139.3611992043,616117.2360694736
2021-02-21,234059.19522475003,624943.7467222597
2021-02-22,242123.90457265396,634340.7995743523
2021-02-23,250364.13621531148,644365.1754594861
2021-02-24,258769.53266833228,655000.5296699412
2021-02-25,267338.1810349361,666245.7357075576
2021-02-26,275632.0699119687,677804.8894287687
2021-02-27,281803.2789810428,688759.5614266756
2021-02-28,285907.7208553818,699170.1642337656
2021-03-01,288270.9765092479,709035.4242316812
2021-03-02,290667.19735323667,718991.1744789559
2021-03-03,293137.764225718,729124.8175378157
2021-03-04,295723.46794452885,739519.1361656494
2021-03-05,298490.88844408246,750307.3845494332
2021-03-06,301523.23240740586,761655.6391291094
2021-03-07,304649.84443261405,773253.6595013737
2021-03-08,307928.8410040738,785199.3896897216
2021-03-09,311354.79693805357,797506.5376915182
2021-03-10,314887.01360554516,810117.6042351773
2021-03-11,318356.9951639641,822664.3926539451
2021-03-12,321098.9336855357,833562.546630992
2021-03-13,322955.8828643033,842479.7809358347
2021-03-14,323842.5862906321,849277.5243576427
2021-03-15,324531.75897318614,855697.971035012
2021-03-16,324897.77892207954,861511.3082152344
2021-03-17,324867.23581342754,866587.622243063
2021-03-18,324374.99940160336,870801.5409452502
2021-03-19,323360.7408193729,874027.816133272
2021-03-20,321842.84568666585,876279.4573634025
2021-03-21,320054.02322937676,877959.244623009
2021-03-22,317981.7086942703,879002.260477098
2021-03-23,315674.64107462345,879499.2111664583
2021-03-24,313228.05226640217,879633.8803635329
2021-03-25,310708.7161589817,879533.7678839979
2021-03-26,307315.4377224736,878269.8049729764
2021-03-27,299459.60590638535,871658.0104514142
2021-03-28,287634.84489966586,860016.0120528097
2021-03-29,273102.84213188634,844512.686582857
2021-03-30,259680.44896514312,829576.6258989288
2021-03-31,247320.2345875948,815248.161208204
2021-04-01,236063.49408707986,801733.1928211475
2021-04-02,225816.39437820227,788985.0357611624
2021-04-03,216494.87875781287,776965.6884052586
2021-04-04,207966.3280911125,765535.8590745385
2021-04-05,200174.5017273991,754676.8580040816
2021-04-06,193011.3676965175,744277.8837198282
2021-04-07,186390.05243795257,734258.8279291101
2021-04-08,180220.50173062884,724518.3591293745
2021-04-09,174528.89787909653,715163.321381408
2021-04-10,169251.73245133384,706130.5474253875
2021-04-11,164240.53492194857,697092.0765341315
2021-04-12,159100.58865748937,686857.0302157056
2021-04-13,153826.15367697956,675434.3850769402
2021-04-14,148500.65876700572,663100.1110214551
2021-04-15,143449.95567112433,650971.6103158436
2021-04-16,138665.7475534872,639064.7035618229
2021-04-17,134179.76962287058,627468.7218018272
2021-04-18,130053.35295787173,616326.6428428867
2021-04-19,126356.80964992836,605793.7261232205
2021-04-20,123091.1192827367,595917.2638763643
2021-04-21,120213.60362647088,586672.1456190126
2021-04-22,117695.6923866729,578049.8467593633
2021-04-23,115483.67889560616,569983.7247116296
2021-04-24,113558.23863358422,562463.945138939
2021-04-25,111900.50133560262,555479.1720260428
2021-04-26,110238.89234231575,548574.5545182477
2021-04-27,107528.81061081124,539925.8909697179
2021-04-28,103831.19273780384,529499.3905022348
2021-04-29,99422.33027426389,517623.1039222816
2021-04-30,95307.67844851382,505992.1817025353
2021-05-01,91426.06230264908,494538.85065083264
2021-05-02,87724.05131186808,483198.330958154
2021-05-03,84187.80102312958,471968.1730819606
2021-05-04,80771.45841841641,460787.81013700203
2021-05-05,77469.8661603691,449669.52126830094
2021-05-06,74278.59545156191,438624.99862510944
2021-05-07,71193.87680000272,427665.51408702275
2021-05-08,68213.41827440582,416803.3092077525
2021-05-09,65338.19605220732,406055.03882394533
2021-05-10,62565.525206984064,395426.831546498
2021-05-11,59885.61263040672,384835.6134230217
2021-05-12,57264.256588692646,373855.6161153237
2021-05-13,54703.51154717231,362544.20366243407
2021-05-14,52207.665608767136,351038.1606437168
2021-05-15,49804.189234415484,339783.7185612706
2021-05-16,47493.523263219526,328784.36855989945
2021-05-17,45275.41025892075,318042.78143900353
2021-05-18,43146.29356319402,307557.9784841834
2021-05-19,41101.993533711764,297327.5351463892
2021-05-20,39138.89470367255,287349.2394814018
2021-05-21,37253.92746376592,277621.00799643237
2021-05-22,35444.37143907149,268140.66587968427
2021-05-23,33708.75916010521,258906.86083126735
2021-05-24,32047.130518278052,249919.62981562514
2021-05-25,30456.92430362454,241176.32902173628
2021-05-26,28940.535548299365,232631.94908525448
2021-05-27,27520.265660863086,224091.54417161763
2021-05-28,26188.26026575002,215581.94701013566
2021-05-29,24932.973953878718,207165.97702560478
2021-05-30,23727.092421952344,199038.7077356497
2021-05-31,22570.986784120392,191193.53915769083
2021-06-01,21463.68903685651,183622.83589679457
2021-06-02,20403.358654733292,176318.17383353016
2021-06-03,19388.052223207018,169271.23735377056
2021-06-04,18415.864679659433,162473.89525392046
2021-06-05,17485.039711496676,155918.23610704823
2021-06-06,16594.535092095794,149597.17608143835
2021-06-07,15744.14478829654,143504.78877575207
2021-06-08,14932.447831255206,137634.27689231955
2021-06-09,14157.763931042302,131978.63923396953
2021-06-10,13418.435126399283,126531.02089372175
2021-06-11,12713.263085296443,121289.1713889738
2021-06-12,12043.497087759975,116268.5224626006
2021-06-13,11407.53218162546,111460.2896193851
2021-06-14,10803.931959920988,106852.52294485913
2021-06-15,10228.680561151645,102417.15111371361
2021-06-16,9680.53588769404,98148.38553483889
2021-06-17,9158.376322128719,94040.66229751532
2021-06-18,8660.243456493394,90087.70434197657
2021-06-19,8184.6722193934465,86283.77474290985
2021-06-20,7730.941114560316,82623.93085666298
2021-06-21,7298.773248828945,79103.85489264308
2021-06-22,6887.35621372174,75718.86423857183
2021-06-23,6495.798178367666,72464.27994668174
2021-06-24,6123.3054599203715,69335.66927255425
2021-06-25,5768.983689085266,66328.60783707733
2021-06-26,5471.301313453344,63502.21432038878
2021-06-27,5414.314987289613,61167.562227157825
2021-06-28,5587.792598753125,59319.0315919852
2021-06-29,5969.0674924178575,57919.21944192901
2021-06-30,6368.472702740068,56667.88132341007
2021-07-01,6786.227594080813,55561.407048239
2021-07-02,7222.292406428854,54596.12497467341
2021-07-03,7676.616720596383,53768.50191022509
2021-07-04,8149.655812485973,53075.69733781388
2021-07-05,8643.189007072413,52516.48827929104
2021-07-06,9156.86949756715,52087.801745941586
2021-07-07,9689.873869394798,51786.089100900455
2021-07-08,10242.180568433809,51608.68740660446
2021-07-09,10813.215547575286,51552.46071250095
2021-07-10,11402.55119316433,51614.47492133951
2021-07-11,12039.422866626235,51875.52697072574
2021-07-12,12883.955071872435,52769.16669726721
2021-07-13,13971.011341986314,54344.420288512
2021-07-14,15311.483339949264,56585.67186701943
2021-07-15,16758.663562171212,59088.94267175559
2021-07-16,18319.65323060635,61871.00896222598
2021-07-17,20002.434520342213,64950.34617702103
2021-07-18,21816.322062435444,68347.60768290819
2021-07-19,23773.05421919201,72086.92815326873
2021-07-20,25879.876978834527,76188.97214500631
2021-07-21,28143.986475553877,80674.93510248388
2021-07-22,30575.066804656453,85569.53337508379
2021-07-23,33183.891037514935,90899.71511180776
2021-07-24,35980.97691702974,96693.13680337857
2021-07-25,38977.851021708615,102979.46306209674
2021-07-26,42032.09803157524,109616.03912566493
2021-07-27,44263.937403594704,115558.72771402741
2021-07-28,45527.69564532765,120533.82600167561
2021-07-29,45918.372779883415,124520.76869855219
2021-07-30,46284.50241886492,128431.30550853888
2021-07-31,46625.47696195235,132263.14083784624
2021-08-01,46943.028705002325,136016.4286459743
2021-08-02,47239.240058874886,139691.95399883328
2021-08-03,47509.88654018215,143284.127995987
2021-08-04,47752.415901195534,146788.46857915015
2021-08-05,47965.45904084381,150201.58536794412
2021-08-06,48146.99818836194,153519.26513591505
2021-08-07,48295.65047323173,156737.8553996758
2021-08-08,48415.164247064575,159859.00169042317
2021-08-09,48512.393051507424,162888.36241996396
2021-08-10,48581.84441346444,165819.53150052959
2021-08-11,48648.88710091395,168592.31702179668
2021-08-12,48861.37844370356,170952.0049609487
2021-08-13,49217.92645067169,172914.97608710924
2021-08-14,49689.320190701575,174562.93082203975
2021-08-15,50130.986639791,176188.64281222463
2021-08-16,50550.175100909604,177796.03804971816
2021-08-17,50942.38598869028,179377.74605508166
2021-08-18,51303.4100207331,180925.85925446457
2021-08-19,51630.925799430246,182434.2553242545
2021-08-20,51923.658657851476,183897.80111799107
2021-08-21,52181.00587461081,185312.15409529465
2021-08-22,52407.067152701755,186677.87223749625
2021-08-23,52608.813850243234,187999.19997844446
2021-08-24,52780.201487802144,189267.77494163878
2021-08-25,52917.45926133674,190476.70758062406
2021-08-26,52957.70740116013,191506.1418267583
2021-08-27,52584.11384981611,191742.8104483179
2021-08-28,51811.48604282722,191164.95400469654
2021-08-29,50730.443047901266,189887.92270839555
2021-08-30,49665.45667572192,188504.10248638285
2021-08-31,48609.8502961743,187014.4169768456
2021-09-01,47559.4039497039,185420.80637206693
2021-09-02,46514.01325156434,183728.93947962712
2021-09-03,45475.04725804153,181945.69816293445
2021-09-04,44444.31726213711,180078.2965027083
2021-09-05,43425.5545476165,178135.942246352
2021-09-06,42422.473394335066,176128.11755554436
2021-09-07,41429.02910664765,174054.21854774773
2021-09-08,40442.97992400499,171916.3966776202
2021-09-09,39465.45066421337,169720.0531698543
2021-09-10,38497.564363737525,167470.58580581177
2021-09-11,37549.18616063312,165158.06110747324
2021-09-12,36665.649541451516,162721.70634898203
2021-09-13,35845.88272489862,160180.67955297107
2021-09-14,35073.207980484076,157560.73845182805
2021-09-15,34302.16107923353,154939.3787982605
2021-09-16,33534.22903710533,152318.60764780603
2021-09-17,32770.89190605166,149700.60535579268
2021-09-18,32013.16901038617,147087.1815309489
2021-09-19,31263.038475406884,144481.268272156
2021-09-20,30523.61434637137,141887.22923630217
2021-09-21,29793.005553296553,139304.48030670077
2021-09-22,29070.28416623805,136732.9716876977
2021-09-23,28356.16343571937,134174.28228019166
2021-09-24,27651.14417869645,131629.77910882543
2021-09-25,26955.595101274812,129100.79858062541
2021-09-26,26290.69174481025,126646.96554072356
2021-09-27,25754.190268544557,124554.65712595283
2021-09-28,25337.111113687577,122812.38420391656
2021-09-29,25013.82704797199,121356.5380618251
2021-09-30,24687.772014293358,119907.56878249596
2021-10-01,24359.516293808952,118465.35309651864
2021-10-02,24029.008645865895,117029.19405055372
2021-10-03,23696.065746203356,115598.3029614392
2021-10-04,23362.433775635986,114173.94834117395
2021-10-05,23027.029158629586,112754.71188092958
2021-10-06,22689.02069829225,111339.20738337479
2021-10-07,22348.65658148224,109927.09373499066
2021-10-08,22006.420137116653,108518.33096186965
2021-10-09,21662.5466144271,107112.72808293918
2021-10-10,21317.62622709119,105710.47002889805
